Source,File,Method,Code_Smell,Line_no,Start_line,End_line,Details
dataset,ff_ippo_store_experience.py,learner_setup,Long message chain,355,,,Message chain at line 355 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,ff_ippo_store_experience.py,run_experiment,Long message chain,509,,,Message chain at line 509 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,checkpointing.py,restore_params,Complex method,,149,207,Method 'restore_params' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,checkpointing.py,restore_params,Long method,,149,207,Method 'restore_params' has 59 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,checkpointing.py,__init__,Long parameter list,39,,,Method '__init__' has 7 parameters (threshold: 4). Consider introducing a parameter object.
dataset,checkpointing.py,__init__,Long statement,59,,,Line 59 has 121 characters (threshold: 120). Break into multiple lines.
dataset,checkpointing.py,__init__,Long statement,104,,,Line 104 has 121 characters (threshold: 120). Break into multiple lines.
dataset,checkpointing.py,restore_params,Long statement,203,,,Line 203 has 121 characters (threshold: 120). Break into multiple lines.
dataset,checkpointing.py,__init__,Long identifier,45,,,Identifier 'save_interval_steps' has 21 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,__init__,Long identifier,87,,,Identifier 'save_interval_steps' has 21 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,__init__,Long identifier,101,,,Identifier 'metadata_json_ready' has 21 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,__init__,Long identifier,109,,,Identifier 'metadata_json_ready' has 21 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,save,Long identifier,119,,,Identifier 'unreplicated_learner_state' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,save,Long identifier,142,,,Identifier 'unreplicated_learner_state' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,restore_params,Long identifier,180,,,Identifier 'restored_checkpoint' has 21 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,restore_params,Long identifier,185,,,Identifier 'restored_learner_state_raw' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,restore_params,Long identifier,195,,,Identifier 'restored_learner_state_raw' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,restore_params,Long identifier,197,,,Identifier 'restored_learner_state_raw' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,restore_params,Long identifier,203,,,Identifier 'restored_learner_state_raw' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,restore_params,Long identifier,205,,,Identifier 'restored_learner_state_raw' has 28 characters (threshold: 20). Consider shortening.
dataset,checkpointing.py,__init__,Long lambda function,85,,,Lambda at line 85 has 81 characters (threshold: 80). Convert to named function.
dataset,checkpointing.py,__init__,Long message chain,80,,,Message chain at line 80 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,ff_isac.py,init,Complex method,,58,208,Method 'init' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_isac.py,update_actor_and_alpha,Complex method,,342,384,Method 'update_actor_and_alpha' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_isac.py,run_experiment,Complex method,,491,602,Method 'run_experiment' has cyclomatic complexity of 10 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_isac.py,init,Long method,,58,208,Method 'init' has 151 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_isac.py,make_update_fns,Long method,,211,488,Method 'make_update_fns' has 278 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_isac.py,run_experiment,Long method,,491,602,Method 'run_experiment' has 112 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_isac.py,step,Long parameter list,245,,,Method 'step' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,actor_loss_fn,Long parameter list,284,,,Method 'actor_loss_fn' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_isac.py,file_level,Long identifier,581,,,Identifier 'unreplicated_learner_state' has 27 characters (threshold: 20). Consider shortening.
dataset,ff_isac.py,file_level,Long identifier,584,,,Identifier 'unreplicated_learner_state' has 27 characters (threshold: 20). Consider shortening.
dataset,ff_isac.py,file_level,Long identifier,595,,,Identifier 'abs_metric_evaluator' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_isac.py,init,Magic number,104,,,Magic number 6 found in 'init'. Define as NUM_RANDOM_SPLITS = 6.
dataset,ff_isac.py,train,Magic number,392,,,Magic number 4 found in 'train'. Define as NUM_KEY_SPLITS = 4.
dataset,ff_isac.py,update_step,Magic number,453,,,Magic number 3 found in 'update_step'. Define as NUM_KEY_SPLITS = 3.
dataset,ff_isac.py,replicate,Long lambda function,96,,,Lambda at line 96 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_isac.py,file_level,Long lambda function,403,,,Lambda at line 403 has 88 characters (threshold: 80). Convert to named function.
dataset,ff_isac.py,init,Long message chain,106,,,Message chain at line 106 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,ff_isac.py,init,Long message chain,108,,,Message chain at line 108 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,rec_ippo.py,_update_step,Complex method,,69,407,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,rec_ippo.py,learner_setup,Complex method,,442,580,Method 'learner_setup' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,rec_ippo.py,run_experiment,Complex method,,583,721,Method 'run_experiment' has cyclomatic complexity of 10 (threshold: 7). Extract nested conditions into separate methods.
dataset,rec_ippo.py,_update_step,Long method,,69,407,Method '_update_step' has 339 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,rec_ippo.py,learner_setup,Long method,,442,580,Method 'learner_setup' has 139 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,rec_ippo.py,run_experiment,Long method,,583,721,Method 'run_experiment' has 139 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,rec_ippo.py,_actor_loss_fn,Long parameter list,214,,,Method '_actor_loss_fn' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,rec_ippo.py,file_level,Long identifier,170,,,Identifier 'batched_last_observation' has 25 characters (threshold: 20). Consider shortening.
dataset,rec_ippo.py,file_level,Long identifier,689,,,Identifier 'unreplicated_learner_state' has 27 characters (threshold: 20). Consider shortening.
dataset,rec_ippo.py,_get_advantages,Magic number,199,,,Magic number 16 found in '_get_advantages'. Define as UNROLL_SIZE = 16.
dataset,rec_ippo.py,_actor_loss_fn,Magic number,231,,,Magic number 1e-8 found in '_actor_loss_fn'. Define as EPSILON_STABILITY = 1e-8.
dataset,rec_ippo.py,_critic_loss_fn,Magic number,268,,,Magic number 0.5 found in '_critic_loss_fn'. Define as VALUE_LOSS_COEFFICIENT = 0.5.
dataset,rec_ippo.py,learner_setup,Magic number,482,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,rec_ippo.py,learner_setup,Magic number,486,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,rec_ippo.py,run_experiment,Magic number,602,,,Magic number 4 found in 'run_experiment'. Define as NUM_PRNG_KEYS = 4.
dataset,rec_ippo.py,_env_step,Long lambda function,108,,,Lambda at line 108 has 81 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,_update_step,Long lambda function,170,,,Lambda at line 170 has 81 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,_update_epoch,Long lambda function,358,,,Lambda at line 358 has 82 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,learner_setup,Long lambda function,492,,,Lambda at line 492 has 88 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,learner_setup,Long lambda function,546,,,Lambda at line 546 has 103 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,learner_setup,Long lambda function,563,,,Lambda at line 563 has 93 characters (threshold: 80). Convert to named function.
dataset,rec_ippo.py,_env_step,Long message chain,133,,,Message chain at line 133 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,ff_ippo.py,_update_step,Complex method,,61,316,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo.py,run_experiment,Complex method,,451,570,Method 'run_experiment' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_ippo.py,_update_step,Long method,,61,316,Method '_update_step' has 256 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo.py,_update_minibatch,Long method,,156,282,Method '_update_minibatch' has 127 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo.py,learner_setup,Long method,,349,448,Method 'learner_setup' has 100 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo.py,run_experiment,Long method,,451,570,Method 'run_experiment' has 120 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_ippo.py,run_experiment,Complex conditional,547,,,Conditional at line 547 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,ff_ippo.py,_actor_loss_fn,Long parameter list,162,,,Method '_actor_loss_fn' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_ippo.py,get_learner_fn,Long identifier,338,,,Identifier 'num_updates_per_eval' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_ippo.py,run_experiment,Long identifier,483,,,Identifier 'num_updates_per_eval' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_ippo.py,run_experiment,Long identifier,486,,,Identifier 'num_updates_per_eval' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_ippo.py,run_experiment,Long identifier,543,,,Identifier 'unreplicated_learner_state' has 27 characters (threshold: 20). Consider shortening.
dataset,ff_ippo.py,run_experiment,Long identifier,559,,,Identifier 'abs_metric_evaluator' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_ippo.py,run_experiment,Long identifier,562,,,Identifier 'abs_metric_evaluator' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_ippo.py,_get_advantages,Magic number,147,,,Magic number 16 found in '_get_advantages'. Define as UNROLL_STEPS = 16.
dataset,ff_ippo.py,_actor_loss_fn,Magic number,176,,,Magic number 1e-8 found in '_actor_loss_fn'. Define as EPSILON_NORMALIZATION = 1e-8.
dataset,ff_ippo.py,_critic_loss_fn,Magic number,210,,,Magic number 0.5 found in '_critic_loss_fn'. Define as VALUE_LOSS_COEFFICIENT = 0.5.
dataset,ff_ippo.py,learner_setup,Magic number,377,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,ff_ippo.py,learner_setup,Magic number,381,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,ff_ippo.py,run_experiment,Magic number,462,,,Magic number 4 found in 'run_experiment'. Define as NUM_PRNG_KEYS = 4.
dataset,ff_ippo.py,file_level,Long lambda function,98,,,Lambda at line 98 has 88 characters (threshold: 80). Convert to named function.
dataset,ff_ippo.py,file_level,Long lambda function,291,,,Lambda at line 291 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_ippo.py,file_level,Long lambda function,292,,,Lambda at line 292 has 82 characters (threshold: 80). Convert to named function.
dataset,ff_ippo.py,file_level,Long lambda function,294,,,Lambda at line 294 has 93 characters (threshold: 80). Convert to named function.
dataset,ff_ippo.py,file_level,Long lambda function,414,,,Lambda at line 414 has 99 characters (threshold: 80). Convert to named function.
dataset,ff_ippo.py,file_level,Long lambda function,438,,,Lambda at line 438 has 87 characters (threshold: 80). Convert to named function.
dataset,ff_mappo.py,_update_step,Complex method,,56,300,Method '_update_step' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_mappo.py,run_experiment,Complex method,,435,553,Method 'run_experiment' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,ff_mappo.py,run_experiment,Long method,,435,553,Method 'run_experiment' has 119 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_mappo.py,learner_setup,Long method,,333,431,Method 'learner_setup' has 99 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,ff_mappo.py,_actor_loss_fn,Long parameter list,150,,,Method '_actor_loss_fn' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,ff_mappo.py,_env_step,Long statement,92,,,Line 92 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,_update_minibatch,Long statement,193,,,Line 193 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,_update_epoch,Long statement,278,,,Line 278 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,learner_setup,Long statement,393,,,Line 393 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,learner_setup,Long statement,399,,,Line 399 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,learner_setup,Long statement,422,,,Line 422 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,run_experiment,Long statement,464,,,Line 464 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,run_experiment,Long statement,467,,,Line 467 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,run_experiment,Long statement,508,,,Line 508 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,run_experiment,Long statement,542,,,Line 542 has 121 characters (threshold: 120). Break into multiple lines.
dataset,ff_mappo.py,file_level,Long identifier,322,,,Identifier 'num_updates_per_eval' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_mappo.py,file_level,Long identifier,467,,,Identifier 'num_updates_per_eval' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_mappo.py,file_level,Long identifier,470,,,Identifier 'num_updates_per_eval' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_mappo.py,file_level,Long identifier,526,,,Identifier 'unreplicated_learner_state' has 27 characters (threshold: 20). Consider shortening.
dataset,ff_mappo.py,file_level,Long identifier,542,,,Identifier 'abs_metric_evaluator' has 21 characters (threshold: 20). Consider shortening.
dataset,ff_mappo.py,_get_advantages,Magic number,135,,,Magic number 16 found in '_get_advantages'. Define as UNROLL_STEPS = 16.
dataset,ff_mappo.py,_actor_loss_fn,Magic number,164,,,Magic number 1e-8 found in '_actor_loss_fn'. Define as EPSILON_STABILITY = 1e-8.
dataset,ff_mappo.py,learner_setup,Magic number,361,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,ff_mappo.py,learner_setup,Magic number,365,,,Magic number 1e-5 found in 'learner_setup'. Define as ADAM_EPSILON = 1e-5.
dataset,ff_mappo.py,_critic_loss_fn,Magic number,198,,,Magic number 0.5 found in '_critic_loss_fn'. Define as VALUE_LOSS_COEFFICIENT = 0.5.
dataset,ff_mappo.py,run_experiment,Magic number,446,,,Magic number 4 found in 'run_experiment'. Define as NUM_PRNG_KEYS = 4.
dataset,ff_mappo.py,file_level,Long lambda function,92,,,Lambda at line 92 has 88 characters (threshold: 80). Convert to named function.
dataset,ff_mappo.py,file_level,Long lambda function,398,,,Lambda at line 398 has 93 characters (threshold: 80). Convert to named function.
dataset,ff_mappo.py,file_level,Long lambda function,422,,,Lambda at line 422 has 81 characters (threshold: 80). Convert to named function.
dataset,ff_mappo.py,run_experiment,Long message chain,513,,,Message chain at line 513 has 3 chained methods (threshold: 2). Use 'Hide Delegate' pattern.
dataset,_spellchecker.py,build_dict,Long lambda function,60,,,Lambda at line 60 has 81 characters (threshold: 80). Convert to named function.
dataset,_codespell.py,parse_options,Complex method,,375,697,Method 'parse_options' has cyclomatic complexity of 10 (threshold: 7). Extract nested conditions into separate methods.
dataset,_codespell.py,parse_file,Complex method,,873,1084,Method 'parse_file' has cyclomatic complexity of 35 (threshold: 7). Extract nested conditions into separate methods.
dataset,_codespell.py,main,Complex method,,1117,1351,Method 'main' has cyclomatic complexity of 28 (threshold: 7). Extract nested conditions into separate methods.
dataset,_codespell.py,parse_options,Long method,,375,697,Method 'parse_options' has 323 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,_codespell.py,parse_file,Long method,,873,1084,Method 'parse_file' has 212 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,_codespell.py,main,Long method,,1117,1351,Method 'main' has 235 lines (threshold: 67). Consider breaking it down into smaller methods.
dataset,_codespell.py,is_hidden,Complex conditional,743,,,Conditional at line 743 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,_codespell.py,parse_file,Complex conditional,991,,,Conditional at line 991 has 4 logical operators (threshold: 2). Extract into named boolean variables.
dataset,_codespell.py,parse_file,Complex conditional,1030,,,Conditional at line 1030 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,_codespell.py,main,Complex conditional,1242,,,Conditional at line 1242 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,_codespell.py,main,Complex conditional,1250,,,Conditional at line 1250 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,_codespell.py,main,Complex conditional,1325,,,Conditional at line 1325 has 3 logical operators (threshold: 2). Extract into named boolean variables.
dataset,_codespell.py,parse_file,Long parameter list,873,,,Method 'parse_file' has 12 parameters (threshold: 4). Consider introducing a parameter object.
dataset,_codespell.py,apply_uri_ignore_words,Long parameter list,852,,,Method 'apply_uri_ignore_words' has 6 parameters (threshold: 4). Consider introducing a parameter object.
dataset,_codespell.py,ask_for_word_fix,Long parameter list,754,,,Method 'ask_for_word_fix' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,_codespell.py,file_level,Long statement,111,,,Line 111 has 127 characters (threshold: 120). Break into multiple lines.
dataset,_codespell.py,file_level,Long statement,448,,,Line 448 has 121 characters (threshold: 120). Break into multiple lines.
dataset,_codespell.py,file_level,Long statement,561,,,Line 561 has 121 characters (threshold: 120). Break into multiple lines.
dataset,_codespell.py,file_level,Long statement,596,,,Line 596 has 121 characters (threshold: 120). Break into multiple lines.
dataset,_codespell.py,file_level,Long statement,1242,,,Line 1242 has 121 characters (threshold: 120). Break into multiple lines.
dataset,_codespell.py,file_level,Long statement,1250,,,Line 1250 has 121 characters (threshold: 120). Break into multiple lines.
dataset,_codespell.py,file_level,Long identifier,45,,,Identifier 'ENABLE_VIRTUAL_TERMINAL_PROCESSING' has 35 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,69,,,Identifier 'supported_languages_en' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,210,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,216,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,open_with_internal,Long identifier,263,,,Identifier 'open_with_internal' has 21 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,291,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,295,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,_toml_to_parseconfig,Long identifier,334,,,Identifier '_toml_to_parseconfig' has 21 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,439,,,Identifier 'ignore-multiline-regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,471,,,Identifier 'uri-ignore-words-list' has 21 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,574,,,Identifier 'hard-encoding-detection' has 23 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,parse_ignore_words_option,Long identifier,711,,,Identifier 'parse_ignore_words_option' has 25 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,717,,,Identifier 'comma_separated_words' has 21 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1087,,,Identifier 'flatten_clean_comma_separated_arguments' has 40 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1091,,,Identifier 'flatten_clean_comma_separated_arguments' has 40 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1165,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1171,,,Identifier 'ignore-multiline-regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1175,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1202,,,Identifier 'uri_ignore_words_list' has 21 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1266,,,Identifier 'hard_encoding_detection' has 23 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,file_level,Long identifier,1268,,,Identifier 'ignore_multiline_regex' has 22 characters (threshold: 20). Consider shortening.
dataset,_codespell.py,STD_OUTPUT_HANDLE,Magic number,46,,,Magic number -11 found in 'STD_OUTPUT_HANDLE'. Define as a named constant with descriptive name.
dataset,_codespell.py,__str__,Magic number,201,,,Magic number 15 found in '__str__'. Define as a named constant with descriptive name.
dataset,_codespell.py,is_text_file,Magic number,750,,,Magic number 1024 found in 'is_text_file'. Define as BUFFER_SIZE = 1024.
dataset,_codespell.py,_script_main,Magic number,1108,,,Magic number 130 found in '_script_main'. Define as EXIT_CODE_KEYBOARD_INTERRUPT = 130.
dataset,_codespell.py,open_with_chardet,Empty catch block,248,,,Empty catch block in 'open_with_chardet' at line 248. Add logging or proper error handling.
dataset,_codespell.py,open_with_chardet,Empty catch block,251,,,Empty catch block in 'open_with_chardet' at line 251. Add logging or proper error handling.
dataset,_codespell.py,open_with_internal,Empty catch block,274,,,Empty catch block in 'open_with_internal' at line 274. Add logging or proper error handling.
dataset,_codespell.py,parse_file,Empty catch block,937,,,Empty catch block in 'parse_file' at line 937. Add logging or proper error handling.
dataset,_codespell.py,parse_file,Empty catch block,946,,,Empty catch block in 'parse_file' at line 946. Add logging or proper error handling.
dataset,_codespell.py,file_level,Long lambda function,201,,,Lambda at line 201 has 81 characters (threshold: 80). Convert to named function.
dataset,_codespell.py,file_level,Long lambda function,337,,,Lambda at line 337 has 81 characters (threshold: 80). Convert to named function.
dataset,_codespell.py,file_level,Long lambda function,1097,,,Lambda at line 1097 has 85 characters (threshold: 80). Convert to named function.
dataset,test_dictionary.py,_check_err_rep,Complex method,,137,191,Method '_check_err_rep' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_dictionary.py,test_dictionary_looping,Complex method,,297,363,Method 'test_dictionary_looping' has cyclomatic complexity of 8 (threshold: 7). Extract nested conditions into separate methods.
dataset,test_dictionary.py,_check_aspell,Long parameter list,101,,,Method '_check_aspell' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,test_dictionary.py,_check_err_rep,Long parameter list,137,,,Method '_check_err_rep' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,test_dictionary.py,test_error_checking_in_aspell,Long parameter list,263,,,Method 'test_error_checking_in_aspell' has 5 parameters (threshold: 4). Consider introducing a parameter object.
dataset,test_dictionary.py,file_level,Long statement,117,,,Line 117 has 121 characters (threshold: 120). Break into multiple lines.
dataset,test_dictionary.py,_check_err_rep,Long statement,147,,,Line 147 has 121 characters (threshold: 120). Break into multiple lines.
dataset,test_dictionary.py,_check_err_rep,Long statement,171,,,Line 171 has 121 characters (threshold: 120). Break into multiple lines.
dataset,test_dictionary.py,test_dictionary_looping,Long statement,321,,,Line 321 has 121 characters (threshold: 120). Break into multiple lines.
dataset,test_dictionary.py,file_level,Long identifier,62,,,Identifier 'test_dictionary_formatting' has 28 characters (threshold: 20). Consider shortening.
dataset,test_dictionary.py,file_level,Long identifier,90,,,Identifier 'test_dictionary_sorting' has 26 characters (threshold: 20). Consider shortening.
